# CU Boulder AED Inventory State File
# Generated:,2025-06-07T04:31:48.203Z

# GLOBAL_SETTINGS
MAX_CLUSTER_TIME,240
AVAILABLE_WORKERS,10
TIME_PER_AED,5
AED_LOCATION_BUFFER,8
TIME_PER_50K_GSF,1
WALKING_SPEED_MPH,3.1
DRIVING_SPEED_MPH,25
WALKING_THRESHOLD,20
PARKING_TIME,3

# BUILDING_DATA
code,name,gsf,aedCount,lat,lon,aedLocationBuffer,address
BESC,BENSON EARTH SCIENCES BUILDING (BESC),89647,1,40.0079671,-105.265887,,2200 COLORADO AVE BOULDER CO 80309
BHRN,BIGHORN (BHRN),127,3,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
BIOT,JENNIE SMOLY CARUTHERS BIOTECHNOLOGY BUILDING (BIOT),416570,1,40.00826022267877,-105.2490395307541,,3415 COLORADO AVE BOULDER CO 80303
BISN,BISON (BISN),127,3,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
BKER,BAKER HALL (BKER),113238,3,40.0068522,-105.2678335,,2005 BAKER DR BOULDER CO 80309
BLWR,BLOWER BUILDING (BLWR),54,3,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
BREG,BICYCLE REGISTRATION BUILDING (BREG),60,3,40.0060617,-105.2711928,,1681 EUCLID AVE BOULDER CO 80309
BRKT,BRACKETT HALL (BRKT),26901,1,40.0071296,-105.2649471,,2350 LIBBY DR BOULDER CO 80309
BUCK,BUCKINGHAM HALL (BUCK),60221,1,40.00242946521044,-105.26087880134583,,2605 KITTREDGE LOOP RD BOULDER CO 80309
C4C,CENTER FOR COMMUNITY (C4C),320785,2,40.0043974,-105.2649608,,2249 WILLARD LOOP DR BOULDER CO 80309
CARL,CARLSON GYMNASIUM (CARL),58232,1,40.0094205,-105.2684726,,1900 PLEASANT ST BOULDER CO 80309
CARP,CARPENTER SHOP (CARP),1234,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
CASE,CENTER FOR ACADEMIC SUCCESS AND ENGAGEMENT (CASE),248460,1,40.0062714,-105.2701754,,1725 EUCLID AVE BOULDER CO 80309
CCH,LIMELIGHT CONFERENCE CENTER & HOTEL (CCH),0,1,40.0109773,-105.2762578,,1295 UNIVERSITY AVE BOULDER CO 80302
CCHG,LIMELIGHT CONFERENCE CENTER & HOTEL GARAGE (CCHG),0,1,40.0116201,-105.2766484,,1215 GRANDVIEW AVE BOULDER CO 80302
CEDU,CONTINUING EDUCATION CENTER (CEDU),19347,1,40.0109234,-105.274454,,1505 UNIVERSITY AVE BOULDER CO 80302
CHEM,CRISTOL CHEMISTRY & BIOCHEMISTRY BUILDING (CHEM),148716,1,40.0074781,-105.2711251,,1606 CENTRAL CAMPUS MALL BOULDER CO 80309
CHEY,CHEYENNE ARAPAHO HALL (CHEY),110628,1,40.0052187,-105.2678322,,960 GREEN MTN ST BOULDER CO 80309
CHKD,CHICKADEE (CHKD),124,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
CHKR,CHICKAREE (CHKR),138,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
CHMP,UCHEALTH CHAMPIONS CENTER (CHMP),231119,8,40.0101734,-105.2658915,,2150 STADIUM DR BOULDER CO 80309
CHST,CHEMICAL STORAGE BUILDING (CHST),165,3,40.00700289214824,-105.25972276926042,,1060 REGENT DRIVE BOULDER CO 80309
CINC,CENTER FOR INNOVATION & CREATIVITY (CINC),87183,1,40.0176945,-105.247105,,1777 EXPOSITION DR BOULDER CO 80303
CINCP,CENTER FOR INNOVATION & CREATIVITY PAVILION (CINCP),1648,1,40.0176945,-105.247105,,1777 EXPOSITION DR BOULDER CO 80303
CIRE,CIRES COOPERATIVE INSTITUTE FOR RESEARCH IN ENVIRONMENTAL SCIENCES (CIRE),28657,1,40.0077862,-105.2714807,,1665 CENTRAL CAMPUS MALL BOULDER CO 80309
CKRL,COCKERELL HALL (CKRL),25372,1,40.0068591,-105.2645089,,2370 LIBBY DR BOULDER CO 80309
