# CU Boulder AED Inventory State File
# Generated:,2025-06-07T04:31:48.203Z

# GLOBAL_SETTINGS
MAX_CLUSTER_TIME,240
AVAILABLE_WORKERS,10
TIME_PER_AED,5
AED_LOCATION_BUFFER,8
TIME_PER_50K_GSF,1
WALKING_SPEED_MPH,3.1
DRIVING_SPEED_MPH,25
WALKING_THRESHOLD,20
PARKING_TIME,3

# BUILDING_DATA
code,name,gsf,aedCount,lat,lon,aedLocationBuffer,address
MGRN,MEGARON CLASSROOM (MGRN),910,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
MKNA,MCKENNA LANGUAGES BUILDING (MKNA),23113,1,40.0097976,-105.2735981,,1505 PLEASANT ST BOULDER CO 80309
MRCTA,MARINE COURT A (MRCTA),39562,1,40.013436,-105.2686969,,1350 20TH ST BOULDER CO 80309
MRCTB,MARINE COURT B (MRCTB),11048,1,40.013436,-105.2686969,,1350 20TH ST BOULDER CO 80309
MRCTC,MARINE COURT C (MRCTC),2720,1,40.013436,-105.2686969,,1350 20TH ST BOULDER CO 80309
MRCTD,MARINE COURT D (MRCTD),4160,1,40.013436,-105.2686969,,1350 20TH ST BOULDER CO 80309
MRCTE,MARINE COURT E (MRCTE),4980,1,40.013436,-105.2686969,,1350 20TH ST BOULDER CO 80309
MRCTF,MARINE COURT F (MRCTF),3338,1,40.013436,-105.2686969,,1350 20TH ST BOULDER CO 80309
MRCTG,MARINE COURT G (MRCTG),11874,1,40.013436,-105.2686969,,1350 20TH STREET BOULDER CO 80309
MRCTH,MARINE COURT H (MRCTH),11090,1,40.013436,-105.2686969,,1350 20TH ST BOULDER CO 80309
MRCTJ,MARINE COURT J (MRCTJ),11874,1,40.013436,-105.2686969,,1350 20TH ST BOULDER CO 80309
MRCTK,MARINE COURT K (MRCTK),11322,1,40.013436,-105.2686969,,1350 20TH STREET BOULDER CO 80309
MRCTM,MARINE COURT MAIL (MRCTM),324,1,40.013436,-105.2686969,,1350 20TH ST BOULDER CO 80309
MRMT,MARMOT (MRMT),126,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
MRTN,MERTENSIA (MRTN),469,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
MSSC,MARINE STREET SCIENCE CENTER (RL6) (MSSC),50512,3,40.0137066,-105.2481675,,3215 MARINE ST BOULDER CO 80303
MUEN,MUENZINGER PSYCHOLOGY & NUEROSCIENCE BUILDING (MUEN),152413,1,40.0085927,-105.2692293,,1905 COLORADO AVE BOULDER CO 80309
MUS,IMIG MUSIC BUILDING (MUS),158620,1,40.0061261,-105.2689505,,1020 18TH ST BOULDER CO 80309
NBB590A,NBB--SEEC SKYWATCH (NBB590A),182,1,40.01008043466973,-105.24253785610199,,4001 DISCOVERY DR BOULDER CO 80303
NBB699A,NBB--BEAR CREEK SHED 1 (NBB699A),87,1,39.99626533237218,-105.25111556053163,,3355 APACHE DRIVE BOULDER CO 80309
NBB699B,NBB--BEAR CREEK SHED 2 (NBB699B),47,1,39.997050262869585,-105.25245934724809,,3355 APACHE DRIVE BOULDER CO 80309
NBB799A,NBB--CAMPUS SHELTER SOUTH PROP (NBB799A),600,1,39.982626,-105.230662,8,"TB72, 5278, Table Mesa Drive, Keewaydin, Boulder, Boulder County, Colorado, 80303, United States"
NPL,NEW PHYSICS LABORATORY (NPL),27537,1,40.0134146,-105.2681334,,3400 MARINE ST BOULDER CO 80303
NTCR,NUTCRACKER (NTCR),127,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
NTCT1A,NEWTON COURT 1A (NTCT1A),27036,1,40.01250745,-105.2643764,,1475 FOLSOM & 2300 ARAPAHOE BOULDER CO 80309
NTCT1B,NEWTON COURT 1B (NTCT1B),27033,1,40.01225643088803,-105.2647734,,1475 FOLSOM & 2300 ARAPAHOE BOULDER CO 80309
NTCT2A,NEWTON COURT 2A (NTCT2A),8767,1,40.01349248269085,-105.2655137,,1475 FOLSOM & 2300 ARAPAHOE BOULDER CO 80309
NTCT2B,NEWTON COURT 2B (NTCT2B),8466,1,40.01365900567617,-105.2654144,,1475 FOLSOM & 2300 ARAPAHOE BOULDER CO 80309
NTCT2C,NEWTON COURT 2C (NTCT2C),8454,1,40.013811120067174,-105.2656236,,1475 FOLSOM & 2300 ARAPAHOE BOULDER CO 80309
NTCT2D,NEWTON COURT 2D (NTCT2D),8454,1,40.01394808540804,-105.2655512,,1475 FOLSOM & 2300 ARAPAHOE BOULDER CO 80309
NTCT2E,NEWTON COURT 2E (NTCT2E),8454,1,40.014092538586326,-105.2651435,,1475 FOLSOM & 2300 ARAPAHOE BOULDER CO 80309
NTCT2F,NEWTON COURT 2F (NTCT2F),8481,1,40.013983000769166,-105.2649799,,1475 FOLSOM & 2300 ARAPAHOE BOULDER CO 80309
NTCT2G,NEWTON COURT 2G (NTCT2G),8773,1,40.01416588132016,-105.2647761,,1475 FOLSOM & 2300 ARAPAHOE BOULDER CO 80309
NTCT2H,NEWTON COURT 2H (NTCT2H),8478,1,40.01406943224304,-105.2646178,,1475 FOLSOM & 2300 ARAPAHOE BOULDER CO 80309
NTCT2J,NEWTON COURT 2J (NTCT2J),8481,1,40.01361527811531,-105.2644783,,1475 FOLSOM & 2300 ARAPAHOE BOULDER CO 80309
NTCT2K,NEWTON COURT 2K (NTCT2K),8481,1,40.013718175442904,-105.2643174,,1475 FOLSOM & 2300 ARAPAHOE BOULDER CO 80309
NTCT2L,NEWTON COURT 2L (NTCT2L),8471,1,40.013554130060555,-105.2641457,,1475 FOLSOM & 2300 ARAPAHOE BOULDER CO 80309
NTCT2M,NEWTON COURT 2M (NTCT2M),8454,1,40.01362568357592,-105.2639365,,1475 FOLSOM & 2300 ARAPAHOE BOULDER CO 80309
NTCT2N,NEWTON COURT 2N (NTCT2N),8453,1,40.013443060989964,-105.26373,,1475 FOLSOM & 2300 ARAPAHOE BOULDER CO 80309
NTCT2P,NEWTON COURT 2P (NTCT2P),8454,1,40.013557598067635,-105.2635556,,1475 FOLSOM & 2300 ARAPAHOE BOULDER CO 80309
NTCT2R,NEWTON COURT 2R (NTCT2R),8454,1,40.01317360687648,-105.2644569,,1475 FOLSOM & 2300 ARAPAHOE BOULDER CO 80309
NTCT2S,NEWTON COURT 2S (NTCT2S),8454,1,40.01327205933899,-105.264253,,1475 FOLSOM & 2300 ARAPAHOE BOULDER CO 80309
NTCT2T,NEWTON COURT 2T (NTCT2T),8454,1,40.013095903039016,-105.2640411,,1475 FOLSOM & 2300 ARAPAHOE BOULDER CO 80309
NTCT2U,NEWTON COURT 2U (NTCT2U),8454,1,40.01314729595573,-105.2638668,,1475 FOLSOM & 2300 ARAPAHOE BOULDER CO 80309
NTCT2V,NEWTON COURT 2V (NTCT2V),8454,1,40.013063238618955,-105.2648002,,1475 FOLSOM & 2300 ARAPAHOE BOULDER CO 80309
NTCT2W,NEWTON COURT 2W (NTCT2W),8454,1,40.01293565172859,-105.2649638,,1475 FOLSOM & 2300 ARAPAHOE BOULDER CO 80309
NTCT2X,NEWTON COURT 2X (NTCT2X),8454,1,40.01278355495116,-105.2646875,,1475 FOLSOM & 2300 ARAPAHOE BOULDER CO 80309
NTCT2Y,NEWTON COURT 2Y (NTCT2Y),8454,1,40.01263193681172,-105.26480287313463,,1475 FOLSOM & 2300 ARAPAHOE BOULDER CO 80309
NTCTA,NEWTON COURT BOILER A (NTCTA),151,1,40.01335643669931,-105.2647492,,1475 FOLSOM & 2300 ARAPAHOE BOULDER CO 80309
NTCTAB,NEWTON COURT BOILER AB (NTCTAB),132,1,40.01323930732447,-105.264945,,1475 FOLSOM & 2300 ARAPAHOE BOULDER CO 80309
NTCTB,NEWTON COURT BOILER B (NTCTB),226,1,40.013246096272965,-105.2647519,,1475 FOLSOM & 2300 ARAPAHOE BOULDER CO 80309
NTCTCD,NEWTON COURT BOILER CD (NTCTCD),132,1,40.01368987711725,-105.2655512,,1475 FOLSOM & 2300 ARAPAHOE BOULDER CO 80309
NTCTEF,NEWTON COURT BOILER EF (NTCTEF),132,1,40.013548153436126,-105.264690220356,,1475 FOLSOM & 2300 ARAPAHOE BOULDER CO 80309
NTCTGH,NEWTON COURT BOILER GH (NTCTGH),132,1,40.013444772533255,-105.2646178,,1475 FOLSOM & 2300 ARAPAHOE BOULDER CO 80309
NTCTJK,NEWTON COURT BOILER JK (NTCTJK),132,1,40.01289821849519,-105.2644998,,1475 FOLSOM & 2300 ARAPAHOE BOULDER CO 80309
NTCTL2,NEWTON COURT L2 (NTCTL2),834,1,40.013740063106084,-105.2649182,,1475 FOLSOM & 2300 ARAPAHOE BOULDER CO 80309
NTCTL3,NEWTON COURT L3 (NTCTL3),1157,1,40.013711635083745,-105.2646554,,1475 FOLSOM & 2300 ARAPAHOE BOULDER CO 80309
NTCTLM,NEWTON COURT BOILER LM (NTCTLM),132,1,40.01362125545843,-105.2647197,,1475 FOLSOM & 2300 ARAPAHOE BOULDER CO 80309
NTCTNP,NEWTON COURT BOILER NP (NTCTNP),132,1,40.01385920386831,-105.2648377,,1475 FOLSOM & 2300 ARAPAHOE BOULDER CO 80309
NTCTPH,NEWTON COURT PUMPHOUSE 1 (NTCTPH),308,1,40.01353044094436,-105.2649128,,1475 FOLSOM & 2300 ARAPAHOE BOULDER CO 80309
NTCTRS,NEWTON COURT BOILER RS (NTCTRS),132,1,40.013481013474006,-105.2649236,,1475 FOLSOM & 2300 ARAPAHOE BOULDER CO 80309
NTCTTU,NEWTON COURT BOILER TU (NTCTTU),132,1,40.01351388,-105.2645051,,1475 FOLSOM & 2300 ARAPAHOE BOULDER CO 80309
NTCTVW,NEWTON COURT BOILER VW (NTCTVW),132,1,40.01382629199626,-105.2649558,,1475 FOLSOM & 2300 ARAPAHOE BOULDER CO 80309
NTCTXY,NEWTON COURT BOILER XY (NTCTXY),132,1,40.01349748833528,-105.2647197,,1475 FOLSOM & 2300 ARAPAHOE BOULDER CO 80309
OB1,ARTS & SCIENCES OFFICE BUILDING 1 (OB1),8676,3,40.0110454,-105.273303,,1201 17TH ST BOULDER CO 80302
OBSR,OBSERVATORY (OBSR),121,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
OBSV,SOMMERS-BAUSCH OBSERVATORY (OBSV),8567,1,40.00365811584137,-105.26301920413972,,2475 KITTREDGE LOOP RD BOULDER CO 80309
PDLP,PONDEROSA LODGEPOLE (PDLP),2000,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
PDPS,POLICE & PARKING SERVICES CENTER (PDPS),31986,1,40.006758408522465,-105.26107460260394,,1050 REGENT DR BOULDER CO 80309
PFDC,PAGE FOUNDATION CENTER (PFDC),10276,1,40.0108086,-105.2757184,,1305 UNIVERSITY AVE BOULDER CO 80302
PFPS,PRACTICE FOOTBALL FIELD PUMP STATION (PFPS),180,1,40.00938604801126,-105.26525080204011,,1311 FOLSOM ST BOULDER CO 80309
PGRG,PONDEROSA GARAGE (PGRG),343,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
PIKA,PIKA (PIKA),126,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
PORC,PORCUPINE (PORC),127,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
PORT,PORTER BIOSCIENCES (PORT),108808,1,40.0089184,-105.2689289,,1925 COLORADO AVE BOULDER CO 80309
PPCB,POTTS/PRENTUP CONCESSIONS BUILDING (PPCB),4056,1,40.00974351421471,-105.24874448776247,8,3593 DISCOVERY DR BOULDER CO 80303
PRL3,4845 PEARL EAST CIRCLE (PRL3),14565,3,40.0217352,-105.240713,8,4845 PEARL EAST CIR. BOULDER CO 80301
PTRM,PTARMIGAN (PTRM),124,1,39.9926,-105.5457,,750 COUNTY RD 116 NEDERLAND CO 80466
RAMY,RAMALEY BIOLOGY BUILDING (RAMY),139442,2,40.00884779077103,-105.26968717575075,,1805 COLORADO AVE BOULDER CO 80309
REC,STUDENT RECREATION CENTER (REC),335846,14,40.0101253,-105.2690316,,1855 PLEASANT ST BOULDER CO 80309
REED,REED HALL (REED),25683,1,40.005612,-105.2647741,,1001 COCKERELL DR BOULDER CO 80309
RES1,RESIDENCE ONE (RES1) (TEMP NAMING),136195,1,40.0127264,-105.2696671,,1945 ATHENS ST BOULDER CO 80309
RGNT,REGENT ADMINISTRATIVE CENTER (RGNT),89306,1,40.0043979,-105.2670277,,2055 REGENT DR BOULDER CO 80309
RL2,RESEARCH LAB NO 2 (RL2),76855,3,40.0127908,-105.2536133,,1540 30TH ST BOULDER CO 80303
ROBN,ROBIN (ROBN),126,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
RPMP,RESEARCH PARK PUMP STATION (RPMP),295,1,40.0020254,-105.2456135,,1257 38TH ST BOULDER CO 80303
RPRK,REGENT DR AUTOPARK (RPRK),279606,3,40.00681387967402,-105.26043355464937,,1050 REGENT DR BOULDER CO 80309
SEEC,SUSTAINABILTY ENERGY AND ENVIRONMENT COMMUNITY (SEEC),292458,2,40.008950511946104,-105.24116992950441,,4001 DISCOVERY DR BOULDER CO 80303
SEEL,SUSTAINABILTY ENERGY AND ENVIRONMENT LABORATORY (SEEL),143721,1,40.009879104353885,-105.24126112461092,,4001 DISCOVERY DR BOULDER CO 80303
SKIS,SKI CENTER STORAGE (SKIS),450,1,40.00969420864275,-105.2494525909424,,3597 DISCOVERY DR BOULDER CO 80303
SLHS,SPEECH LANGUAGE AND HEARING SCIENCES (SLHS),22558,1,40.00386562823026,-105.26250422000886,,2501 KITTREDGE LOOP RD BOULDER CO 80309
SLKR,SOCCER LOCKER ROOM (SLKR),2275,1,40.00990375707754,-105.2495062351227,,3595 DISCOVERY DR BOULDER CO 80303
SLSH,SPEECH LANGUAGE AND HEARING SCIENCES SHED (SLSH),168,1,40.00390261057,-105.26284217834474,,2501 KITTREDGE LOOP RD BOULDER CO 80309
SMCTA1,SMILEY COURT A1 (SMCTA1),7740,1,40.00802601580566,-105.25304675102235,,1300 30TH ST BOULDER CO 80303
SMCTA2,SMILEY COURT A2 (SMCTA2),11563,1,40.008773831429274,-105.25288045406343,,1300 30TH ST BOULDER CO 80303
SMCTA3,SMILEY COURT A3 (SMCTA3),11563,1,40.01011330486901,-105.25296092033388,,1300 30TH ST BOULDER CO 80303
SMCTB1,SMILEY COURT B1 (SMCTB1),18305,1,40.0077278,-105.2520461,,1300 30TH ST BOULDER CO 80303
SMCTB2,SMILEY COURT B2 (SMCTB2),18302,1,40.0077278,-105.2520461,,1300 30TH ST BOULDER CO 80303
SMCTB3,SMILEY COURT B3 (SMCTB3),18300,1,40.0077278,-105.2520461,,1300 30TH ST BOULDER CO 80303
SMCTB4,SMILEY COURT B4 (SMCTB4),18300,1,40.00964079423296,-105.25201678276063,,1300 30TH ST BOULDER CO 80303
SMCTD1,SMILEY COURT D1 (SMCTD1),3966,1,40.008206807146856,-105.25319159030916,,1300 30TH ST BOULDER CO 80303
SMCTD10,SMILEY COURT D10 (SMCTD10),5928,1,40.00934906864197,-105.25184512138368,,1300 30TH ST BOULDER CO 80303
SMCTD2,SMILEY COURT D2 (SMCTD2),5928,1,40.0077278,-105.2520461,,1300 30TH ST BOULDER CO 80303
SMCTD3,SMILEY COURT D3 (SMCTD3),3966,1,40.00918060681733,-105.25317013263704,,1300 30TH ST BOULDER CO 80303
SMCTD4,SMILEY COURT D4 (SMCTD4),5928,1,40.0077278,-105.2520461,,1300 30TH ST BOULDER CO 80303
SMCTD5,SMILEY COURT D5 (SMCTD5),5928,1,40.0077278,-105.2520461,,1300 30TH ST BOULDER CO 80303
SMCTD6,SMILEY COURT D6 (SMCTD6),3966,1,40.0077278,-105.2520461,,1300 30TH ST BOULDER CO 80303
SMCTD7,SMILEY COURT D7 (SMCTD7),3966,1,40.0077278,-105.2520461,,1300 30TH ST BOULDER CO 80303
SMCTD8,SMILEY COURT D8 (SMCTD8),3966,1,40.0077278,-105.2520461,,1300 30TH ST BOULDER CO 80303
SMCTD9,SMILEY COURT D9 (SMCTD9),7892,1,40.0077278,-105.2520461,,1300 30TH ST BOULDER CO 80303
SMCTE1,SMILEY COURT E1 (SMCTE1),10873,1,40.0077278,-105.2520461,,1300 30TH ST BOULDER CO 80303
SMCTE2,SMILEY COURT E2 (SMCTE2),10873,1,40.0077278,-105.2520461,,1300 30TH ST BOULDER CO 80303
SMCTE3,SMILEY COURT E3 (SMCTE3),10873,1,40.0077278,-105.2520461,,1300 30TH ST BOULDER CO 80303
SMCTE4,SMILEY COURT E4 (SMCTE4),10873,1,40.010043455676666,-105.25190949440004,,1300 30TH ST BOULDER CO 80303
SMCTL1,SMILEY COURT L1 (SMCTL1),346,1,40.0077278,-105.2520461,,1300 30TH ST BOULDER CO 80303
SMCTL2,SMILEY COURT L2 (SMCTL2),676,1,40.0077278,-105.2520461,,1300 30TH ST BOULDER CO 80303
SMCTL3,SMILEY COURT L3 (SMCTL3),346,1,40.0077278,-105.2520461,,1300 30TH ST BOULDER CO 80303
SMCTM1,SMILEY COURT MAIL 1 (SMCTM1),170,1,40.0077278,-105.2520461,,1300 30TH ST BOULDER CO 80303
SMCTM2,SMILEY COURT MAIL 2 (SMCTM2),170,1,40.0077278,-105.2520461,,1300 30TH ST BOULDER CO 80303
SMCTM3,SMILEY COURT MAIL 3 (SMCTM3),170,1,40.0077278,-105.2520461,,1300 30TH ST BOULDER CO 80303
SMCTS1,SMILEY COURT STORAGE 1 (SMCTS1),170,1,40.00801779800603,-105.2516359090805,,1300 30TH ST BOULDER CO 80303
SMCTS2,SMILEY COURT STORAGE 2 (SMCTS2),170,1,40.0077278,-105.2520461,,1300 30TH ST BOULDER CO 80303
SMCTS3,SMILEY COURT STORAGE 3 (SMCTS3),170,1,40.0077278,-105.2520461,,1300 30TH ST BOULDER CO 80303
SMCTS4,SMILEY COURT STORAGE 4 (SMCTS4),170,1,40.0077278,-105.2520461,,1300 30TH ST BOULDER CO 80303
SMCTS5,SMILEY COURT STORAGE 5 (SMCTS5),170,1,40.0077278,-105.2520461,,1300 30TH ST BOULDER CO 80303
SMTH,SMITH HALL (SMTH),96667,1,40.002260986309835,-105.26219308376314,,2525 KITTREDGE LOOP RD BOULDER CO 80309
SPRG,SPRING HOUSE (SPRG),100,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
SPSC,SPACE SCIENCE BUILDING (SPSC),100039,2,40.0117201,-105.2454644,,3665 DISCOVERY DR BOULDER CO 80303
SPSK,SAPSUCKER (SPSK),120,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
SSKN,SISKEN (SSKN),115,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
ST74,STORAGE BUILDING 74 (ST74),0,1,39.9826258,-105.2306619,,5278 TABLE MESA DR BOULDER CO 80305
STAD,STADIUM BUILDING (STAD),151963,1,40.0093352,-105.2660699,,2085 COLORADO AVE BOULDER CO 80309
STNC,STEARNS TOWERS CENTER (STNC),22523,1,40.0223927,-105.2536816,,600 30TH ST BOULDER CO 80309
STNE,STEARNS TOWERS EAST (STNE),113703,1,40.0223927,-105.2536816,,600 30TH ST BOULDER CO 80309
STNW,STEARNS TOWERS WEST (STNW),113459,1,40.0223927,-105.2536816,,600 30TH ST BOULDER CO 80309
STSB,STADIUM SKY BOX (STSB),114504,3,40.00934906864197,-105.26631832122804,,2085A COLORADO AVE BOULDER CO 80309
STTB,STADIUM TICKET BUILDING (STTB),554,1,40.0084885,-105.2655352,,2095 COLORADO AVE BOULDER CO 80309
SUMM,SUMMER (SUMM),347,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
SWLL,SEWALL HALL (SWLL),99242,2,40.0104949,-105.2711255,,1720 UNIVERSITY AVE BOULDER CO 80309
TB01,ALBERT AND VERA RAMIREZ TEMPORARY BUILDING 1 (TB01),8673,3,40.0104704,-105.2705433,,1715 PLEASANT ST BOULDER CO 80309
TB15,ELECTRIC SUPPLY BUILDING (TB15),1309,1,40.0135305,-105.249385,,3210 MARINE ST BOULDER CO 80303
TB16,TELECOM EQUIPMENT BUILDING SMILEY COURT (TB16),131,1,40.0079218,-105.253395,,1302 30TH ST BOULDER CO 80303
TB19,UNIVERSITY ADMINISTRATIVE CENTER ANNEX (TB19),2199,1,40.004141,-105.2681833,,924 BROADWAY BOULDER CO 80309
TB33,FAMILY HOUSING EXPANSION (133) (TB33),4326,1,40.0133316,-105.2723087,,1328 17TH ST BOULDER CO 80309
TB45,WAREHOUSE NO 1 (TB45),2000,1,40.0134224,-105.268185,,3300 MARINE ST BOULDER CO 80303
TB46,WAREHOUSE NO 2 (TB46),2000,1,40.0134224,-105.268185,,3300 MARINE ST BOULDER CO 80303
TB47,WAREHOUSE NO 3 (TB47),2000,1,40.0134224,-105.268185,,3300 MARINE ST BOULDER CO 80303
TB48,WAREHOUSE NO 4 (TB48),2000,1,40.0134224,-105.268185,,3300 MARINE ST BOULDER CO 80303
TB49,STEAM CONVERSION SHED (TB49),1688,1,40.012116,-105.270323,,1201 19TH ST BOULDER CO 80309
TB55,PRACTICE FOOTBALL FIELD BUILDING (TB55),289,1,40.00999825910236,-105.2648162841797,,1301 FOLSOM ST BOULDER CO 80309
TB65,TEMPORARY BUILDING 65 (TB65),2923,1,40.0116881,-105.2759305,,1301 GRANDVIEW AVE BOULDER CO 80302
TB65A,TEMPORARY BUILDING 65 GARAGE (TB65A),390,1,40.0116881,-105.2759305,,1301 GRANDVIEW AVE BOULDER CO 80302
TB66,TEMPORARY BUILDING 66 (TB66),3823,1,40.0116906,-105.2749892,,1445 GRANDVIEW AVE BOULDER CO 80302
TB70,TEMPORARY BUILDING 70 (TB70),3793,1,40.0113149,-105.2758053,,1302 GRANDVIEW AVE BOULDER CO 80302
TB72,TEMPORARY BUILDING 72 (TB72),16576,1,39.982626,-105.230662,8,"TB72, 5278, Table Mesa Drive, Keewaydin, Boulder, Boulder County, Colorado, 80303, United States"
TB78,TEMPORARY BUILDING 78 (TB78),1674,1,40.0118384,-105.2759684,,1510 13TH ST BOULDER CO 80302
TB82,TEMPORARY BUILDING 82 (TB82),4436,1,40.0115388,-105.2760795,,1333/1335 GRANDVIEW AVE BOULDER CO 80302
TB83,POTTS FIELD TRACK STORAGE (TB83),1285,1,40.009673664643934,-105.24837970733644,,3625 DISCOVERY DR BOULDER CO 80303
TB84,BRYAN BENJAMIN SAX SKI TEAM BUILDNG (TB84),3517,1,40.00968188224421,-105.24945795536043,,3601/3603 DISCOVERY DR BOULDER CO 80303
TB85,AUXILARY TRACK STORAGE NORTHWEST OF POTTS FIELD (TB85),720,1,40.01124320834443,-105.2490395307541,,3609 DISCOVERY DR BOULDER CO 80303
TB88,TEMPORARY BUILDING 88 (TB88),3193,1,40.0113303,-105.2750934,,1338 GRANDVIEW AVE BOULDER CO 80302
TB90,TEMPORARY BUILDING 90 (TB90),2092,1,40.0114724,-105.2744016,,1514 13TH ST BOULDER CO 80302
TB93,TEMPORARY BUILDING 93 (TB93),3082,1,40.0113511,-105.2749283,,1344 GRANDVIEW AVE BOULDER CO 80302
TB99,TEMPORARY BUILDING 99 (TB99),1394,1,40.0117357,-105.2751804,,1429 GRANDVIEW AVE BOULDER CO 80302
TETN,TETON (TETN),126,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
THTR,UNIVERSITY THEATRE (THTR),71239,1,40.0080796,-105.2736136,,1515 CENTRAL CAMPUS MALL BOULDER CO 80309
TLRS,TULAROOSA (TLRS),126,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
TNDR,TUNDRA LAB (TNDR),1232,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
TRAN,TRANSPORTATION CENTER AND ANNEX (TRAN),9349,1,40.0137044,-105.2484198,,3205 MARINE ST BOULDER CO 80303
UCTR,UNIVERSITY ADMINISTRATIVE CENTER (UCTR),15174,1,40.0045493,-105.2700895,,914 BROADWAY BOULDER CO 80309
UINT,UINTA (UINT),126,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
UMC,UNIVERSITY MEMORIAL CENTER (UMC),257485,3,40.0067303,-105.2715544,,1669 EUCLID AVE BOULDER CO 80309
URES,UNIVERSITY RESIDENCE (URES),11054,1,39.9960015,-105.2475131,,3600 CADDO PKWY BOULDER CO 80309
VAC,VISUAL ARTS COMPLEX (VAC),179813,1,40.0075859,-105.2704886,,1085 18TH ST BOULDER CO 80309
VHCL,VEHICLE STORAGE (VHCL),913,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
VPMP,VARSITY LAKE PUMP STATION (VPMP),401,1,40.0101506,-105.2748289,,1500 UNIVERSITY AVE BOULDER CO 80309
WALN,WALNUT DISTRIBUTION CENTER (WALN),146582,2,40.019853,-105.249449,8,3300 WALNUT ST BOULDER CO 80303
WARD,WARDENBURG STUDENT HEALTH CENTER (WARD),55963,3,40.0051569,-105.2688875,,1900 WARDENBURG DR BOULDER CO 80309
WASA,WASATCH (WASA),126,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
WDBY,WOODBURY ARTS & SCIENCES BUILDING (WDBY),12937,1,40.0092235,-105.2733574,,1600 PLEASANT ST BOULDER CO 80309
WDEP,WEST DISTRICT ENERGY PLANT (WDEP),22647,1,40.00759047106291,-105.2691024541855,,1100 18TH ST BOULDER CO 80309
WDIL,1164 W DILLON RD (WDIL),58609,3,39.961794,-105.167435,8,"1164, West Dillon Road, Louisville, Boulder County, Colorado, 80027, United States"
WEB,WEBER HALL (WEB),190867,3,39.99730505512284,-105.25119602680208,,3275 APACHE DR BOULDER CO 80309
WILD,2860 WILDERNESS PLACE (WILD),63191,1,40.0268375,-105.2460111,8,2860 WILDERNESS PL BOULDER CO 80303
WIND,WIND TUNNEL (WIND),3469,1,40.00909021249613,-105.24202823638916,,4001 DISCOVERY DR BOULDER CO 80303
WLAW,WOLF LAW BUILDING (WLAW),190007,1,40.00117613660271,-105.26216089725496,,2450 KITTREDGE LOOP RD BOULDER CO 80309
WLLW,WILLOW (WLLW),336,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
WLRD,WILLARD HALL (WLRD),100969,1,40.0051471,-105.2662543,,2200 WILLARD LOOP DR BOULDER CO 80309
WMGBA,WEST MAIN GROUNDS BUILDING A (WMGBA),110,1,40.0110454,-105.273303,,1201 17TH ST BOULDER CO 80309
WMGBB,WEST MAIN GROUNDS BUILDING B (WMGBB),110,1,40.0110454,-105.273303,,1201 17TH ST BOULDER CO 80309
WMGBC,WEST MAIN GROUNDS BUILDING C (WMGBC),297,1,40.0110454,-105.273303,,1201 17TH ST BOULDER CO 80309
WMGBD,WEST MAIN GROUNDS BUILDING D (WMGBD),99,1,40.0110454,-105.273303,,1201 17TH ST BOULDER CO 80309
WPTI,WAPATI (WPTI),126,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
WRVR,WIND RIVER (WRVR),126,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
WSTE,WASTE TREATMENT (WSTE),619,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
WVC,WILLIAMS VILLAGE DINING AND COMMUNITY COMMONS (WVC),114873,1,39.9976731,-105.2519057,,510 30TH ST BOULDER CO 80309
WVE,WILLIAMS VILLAGE EAST (WVE),188831,1,39.99877175548192,-105.24913072586061,,3400 BASELINE RD BOULDER CO 80303
WVHP,WILLIAMS VILLAGE HEATING PLANT (WVHP),8277,1,39.9994071,-105.2511096,,3200 BASELINE RD BOULDER CO 80309
